"06. Bitter Wind Lullaby",,,,,,,,,,
,,,,,,,,,,
"3/4 Measures",,,,,,,,,,
A5,,G5,D,(rest),,,"Little one, little one, bitter wind blown",,,
A5,,G5,A5,(rest),,,"Little one, little one, bitter wind blown",,,
A5,,G5,D,(rest),,,"Little one, little one, bitter wind blown",,,
A5,,G5,A5,(rest),,,"Little one, little one, bitter wind blown",,,
A5,A5,(skip),,,,,,,(skip),
A5,,G5/A,,,,,"Sun barely rising a-bove the hor-izon",,,
A5,,G5/A,D5,,,,"Little one, little one, bitter wind blown",,,
A5,A5,C5,D5,,,,"Flowers are withering, naked bark brittle oh,",,,
A5,A5,G5,A5,,,,"Little one, little one, bitter wind blown",,,
A5,A5,C5,D5,,,,"Don't understand why the light would abandon us,",,,
A5,A5,G5,D5,,,,"Little one, little one, bitter wind blown",,,
A5,A5,C5,D5,,,And,"I don't know how much more he may demand of us",,,
A5,A5,G5,A5,,,,"Little one, little one, bitter wind blown",,,
Dm,Dm,C,C,,,,"Sun,","sailing a -",way,"I don't know"
C,C,G,G,,,,Where...,"I don’t know why…",,
Dm,Dm,C,C,,,,"Sky,",darkening,"grey,","wishing there"
C,C,G,G,,,,"weren’t so  man-y  good - byes...",,,
C,G,Am,Am,Am,,,"little one, little one why...",,,
G,Am,Am,Am,Am,,,"little one  why...",,,
A5,A5,C5,D5,,,,"Asking me","questions I","don't have the answers to",
A5,A5,G5,D5,,,,"Little one, little one, bitter wind blown",,,
A5,A5,C5,D5,,,,"Watching you shiver, and I dont know what to do",,,
A5,A5,G5,A5,,,,"Little one, little one, bitter wind blown",,,
A5,A5,C5,D5,,,,"Maybe if     we did the dance said the words just right",,,
A5,A5,G5,D5,,,,"Little one, little one, bitter wind blown",,,
A5,A5,C5,D5,,,,"Maybe he'd  come back may-be things would be all right",t,,
A5,A5,G5,A5,,,,"Little one, little one, bitter wind blown",,,
Dm,Dm,C,C,,,,"Sun,","sailing a -",way,"I don't know"
C,C,G,G,,,,Where...,"I don’t know why…",,
Dm,Dm,C,C,,,,"Sky,",darkening,"grey,","wishing there"
C,C,G,G,,,,"weren’t so  man-y  good - byes...",,,
C,G,Am,Am,Am,,,"little one, little one why...",,,
G,Am,Am,Am,,,,"little one  why...",,,
G,Am,,,,,,"little one  why...",,,
