"09. Do You Realize?",,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
INTRO:,C,,Em,,Am,,D7,,," ",
"VERSE 1:",C,,Em,,Am,,G,F,,,"Do you realize....          that you have the most beautiful face"
,C,,Em,,Am,,D7,,,,"Do you realize...           we're floating in space"
,C,,Em,,Am,,G,F,,,"Do you realize...           that happiness... makes you cry"
,C,,Em,,Am,,F,Fm,,,"Do you realize...           that everyone... you know... someday... will die"
,C,Cadd9,C,Cadd9,F,Am,G,,,,"And instead of saying all of your goodbyes, let them know you"
CHORUS:,C,F,C,G,C,Em,G,F,,,"realize that life goes fast. It's hard to make the good things last."
,G,C,,Fm,Bb,,,,,,"You realize the sun don't go down. It's just an illusion caused by the world, spinning round"
BRIDGE:,Eb,,Gm,,Cm,,Ab,F,,,"Do you realize... ah ah ahhh.... ah ah ahhh... ah ahhh.."
"VERSE 2:","C (DRUMS)",,Em,,Am,,G,F,,,"Do you realize...           that you have the most beautiful face..."
,C,,Em,,Am,,D7,,,,"Do you realize...           we're floating in space"
,C,,Em,,Am,,G,F,,,"Do you realize...           that happiness makes you cry"
,C,,Em,,Am,,F,Fm,,,"Do you realize...           that everyone... you know... someday... will die"
,C,Cadd9,C,Cadd9,F,Am,G,,,,"And instead of saying all of your goodbyes, let them know you"
CHORUS:,C↓,F↓,C↓,G↓,C↓,Em↓,G↓,F↓,,,"You realize that life goes fast. It's hard to make the good things last."
,G↓,Am↓,,G↓,"F↓ ↓",,,,,,"You realize the sun don't go down. It's just an illusion caused by the world, spinning round"
TAG:,"C (strum)",,Em,,Am,,F,Fm,C↓,,"Do you realize...           that everyone... you know... someday... will die"
,,,,,,(ritardando….),,,,,
