"Endless Light",,,,,,,,,,
,,,,,,,,,,
,3/4,,,,,,,,,
Intro,F,,,,,,,,,
,Am,,,,,,,,,
,Bb,,,,,,,,,
,Dm,,,,,,,,,
"Verse 2a",F,,,,,,"Father is    waiting for    sister and     me",,,
,Am,,,,,,"Thousands of miles away,    over the       sea and we're ",,,
,Bb,,,,,,"Flying as    fast as the    Boeing'll      carry us",,,
,Dm,,,,,,"One...       last...        time...",,,
"Verse 2b",F,,,,,,"Thinking of stories he told from the war",,,
,Am,,,,,,"Terrible jokes that he made us endure",,,
,Eb,,,,,,"Daylight is ending, the plane is descending",,,
,Dm,,Bb,,,,"Just...      in...          time...",,,"... as the"
"Verse 2c",Bb,,Dm,,,,"clouds part around us, a    dazz-l-ing     city",,,
,Bb,,Dm,,,A,"ppears like a jewel in the  night...",,,
,Bb,,F,,,"And I","look at our  home and its   lights all a - glow'n and I",,,
,Bb,,Dm,Bb,,,"Can't help but wonder at",,all..,those...
"Chorus A",F,,,,,,End...,less...,"lights,","burning with"
,Bb,,,,,,Un...,told...,"sto-ries,","each of them"
,Dm,,,,,,One...,more...,"reason to ",wonder
,Bb,,,,,Is,anyone,"out there, ",anyone,"out there?"
"Chorus B",F,,,,,,End...,less...,night,cradling
,Bb,,,,,,Count...,less...,"voices,",reaching
,Dm,,,,,A,cross..,"the ",vast-ness...,
,Bb,,C,,,"With ","beau-ti-ful ","stories,","lasting as ","long as they"
,F,,,,,,can...,,,
,Bb,,C,,,,"Beau-ti-ful ","stories,","lasting as ","long as they"
,F,,,,,,can...,,,
,,,,,,,,,,
"Verse 3a",F,,,,,,"Grandma's been waiting for  clues in the   dark, and I'm",,,
,Am,,,,,,"Journeying  ","millions of ","miles to take part.",
,Bb,,,,,And,finally,"I see her","glint in the","viewing port,"
,Dm,,,,,,Right...,on...,time...,
"Verse 3b",F,,,,,,"Weightless em","brace as the","airlock re-","seals,"
,Am,,,,,,"Space station"," turning and","slowly re-",veals:
,Eb,,,,,,"Rows upon","rows of her",telescopes,listening
,Dm,,Bb,,,,Deep...,through...,time...,"C      F"
"Verse 3c",Bb,,,,,And,"maybe there's"," some kind of",somebody,"o-ut there"
,Dm,,,,,,Listening,"in on our",radio,calls
,Bb,,,,,Or,"maybe there's ","not there's just one pale blue dot to give",,
,Dm,,,,,,"Meaning and ","beauty and","worth to it",all.
,Bb,,,,,But,"holding her","hand in that","moment I ","wonder,"
,C,,Am,Bb,,,"Can't help but wonder at all","wonder at",all...,those...
Chorus,F,,,,,,End...,less...,"lights,","burning with"
,Bb,,,,,,Un...,told...,"sto-ries,","each of them"
,Dm,,,,,,One...,more...,"reason to ",wonder
,Bb,,,,,Is,anyone,"out there...",anyone,"out there?"
,F,,,,,,End...,less...,night,cradling
,Bb,,,,,,Count...,less...,"voices,","reaching "
,Dm,,,,,A,cross...,"the ",vast-ness...,
,Bb,,C,,,"With ","beau-ti-ful ","stories,","lasting as ","long as they"
Outtro,Dm,,,,,,can...,,,
,Bb,,,,,,"beau-ti-ful ","stories,","lasting as    long as they",
,Dm,,,,,,can...,,,
,Bb,,C,,,,"beau-ti-ful ","stories,","lasting as    long as they","long as they"
,F,,,,,,can,,,
