,"Gather Round",,,,,,,,
,,,,,,,,,
,"4/4 Measures",,,,,,,,
"Verse 1A",C/C5,"C (mid)","C (hi)",,,,"Gather round,","gather round,","gather found my fire, stranger"
,C,Cm6/C,,"C (mid)",,,"Huddle up and ","hunker down and","pass that bowl around... yeah!"
,C/C5,"C (mid)","C (hi)",,,,"Gather round,","gather round,","gather found my fire, stranger"
,C,Cm6/C,F,C,,,"Huddle up and ","hunker down and","pass that bowl around"
"Verse 1B",C,,,,,,"Out there we got hungry lions",,"(gather round, gather round)"
,C,,,,,,"Hundred other ways of dyin'    (gather round, gather round)",,
,C,,,,,,"In here we got dinner fryin'   (gather round, gather round)",,
,C,F,C,,,,"Gather round, come gather round the fire",,
"Verse 2A",C/C5,"C (mid)","C (hi)",,,Now,"sing around,","sing around,","sing around the fire, neighbor"
,C,Cm6/C,,"C (mid)",,,"Breath in deep &","feel the beat &","make some bloody sound, yeah!"
,C/C5,"C (mid)","C (hi)",,,,"Sing around,","sing around,","sing around the fire, neighbor"
,C,Cm6/C,F,C,,,"Breath in deep &","feel the beat &","make some bloody sound, yeah!"
"Verse 2B",C,,,,,,"You look like you","been some places! (sing around, sing around)",
,C,,,,,,"Trouble's etched upon your face, yeah, (sing around, sing around)",,
,C,,,,,,"Take that trouble,   shout it loud! Sing around, sing around",,
,C,F,C,,,,"Take that trouble,   sing it round the fire",,
"Verse 3A",C/C5,"C (mid)","C (hi)",,,Now,"dance around, ","dance around, let's dance around the fire, together",
,C,Cm6/C,,"C (mid)",,,"Stand up straight &","gy-r-te and    shake your body round",
,C/C5,"C (mid)","C (hi)",,,,"Dance around, ","dance around, come dance around the fire, together",
,C,Cm6/C,F,C,,,"Stand up straight &","gy-r-ate and   shake your body round",
"Verse 3B",C,,,,,,"Out there we got ","winter going,","(dance around, dance around)"
,C,,,,,,"Bones all soaked the snow is blowin' ",,"(dance around, dance around)"
,C,,,,,But,"feel that heat and blood flowin' ",,"(dance around, dance around)"
,C,F,C,,,,"Feel it flowin', dancing round the fire",,
"Verse 4",,,,,,Now,"gather round,","gather round, come","gather found our fire, together"
,,,,,,,"Huddle up and ","hunker down and","pass that bowl around... yeah!"
,,,,,,,"Gather round,","gather round,","gather found our fire, together"
,C,Cm6,C,F,,,"Huddle up and ","hunker down and","pass that bowl aro-ound"
,C,F,"C  F",C,,,"Huddle up and ","hunker down and","pass that bowl around"
