"Walk With Me",,,,,,,,
,,,,,,,,
,,,,,,,,
Am,Am,F,G,,,,,
F,,C,,,"So stranger","walk with me...","             I'm ","walking too..."
F,,C,,,,"walk with me...","           We'll","journey through"
C,,F,,,"And maybe","talk with me...","              As partners do",
,D,,G,,,,,
Am,,F,,,,"Here comes the dark again...    clawing at my heart like a hungry beast",,
G,,Am,,,,"Shutting down my eyes like a flask that's empty",,
Am,,F,,,,"I want to walk on the solid ground. I want to know what you've been through",,
G,,Am,,,,"Want to face what comes together. I am safer with you.",,
F,,C,,,"So stranger","walk with me...","             I'm ","walking too..."
F,,C,,,,"walk with me...","           We'll","journey through"
C,,F,,,"And maybe","talk with me...","              As partners do",
C,,C,,,,"Walk with me. Talk with me. Stop with me.",,
F,,,,,,"As friends can do.",,
