"Here Comes the Sun",,,,,,,,
,,,,,,,,
"4/4 Measures",,,,,,,,
A,A,D,E7,,,,,
A,A,D,E7,,,,,
A,A,Dmaj7,B7/D#,,"... Here comes the ",sun,"... Here comes the ","sun, and I say"
A,"D A/C Bm7","A   E7",,,"... it's all right",,,
A,A,D,E7,,"... Little darling,","it's been a","long cold, lonely",winter
A,A,D,E7,,"... Little darling,","it feels like years since it's been here",,
A,A,Dmaj9,B7,,"... Here comes the ",sun,"... Here comes the ","sun, and I say"
A,"D A/C# Bm7","A   E7",A,,"... it's all right",,,
E7,,,,,,,,
A,A,D,E7,,"... Little darling,","the smiles re","turning to their",faces
A,A,D,E7,,"... Little darling,","it seems like","years since its been here",
A,A,Dmaj9,B7,,"... Here comes the ",sun,"... Here comes the ","sun, and I say"
A,"D A/C# Bm7","A   E7",A,,"... it's all right",,,
,,,,,," ",,
"C    G","  D",A,E7,,"Sun, sun sun, here it comes",,,
"C    G","  D",A,E7,,"Sun, sun sun, here it comes",,,
"C    G","  D",A,E7,,"Sun, sun sun, here it comes",,,
"C    G","  D",A,E7,,"Sun, sun sun, here it comes",,,
"C    G","  D",A,E7,,"Sun, sun sun, here it comes",,,
E7,Esus4,E7,E7,,,,,
A,A,D,E7,,"... Little darling,"," I feel that ice is slowly melting",,
A,A,D,E7,,"... Little darling,","it seems like","years since its been clear",
A,A,Dmaj9,B7,,"... Here comes the ",sun,"... Here comes the ","sun, and I say"
A,"D A/C# Bm7","A   E7",,,"... it's all right",,,
A,A,Dmaj9,B7,,"... Here comes the ",sun,"... Here comes the ","sun, and I say"
A,"D A/C# Bm7","A   E7",A,,"... it's all right",,,
A,"D A/C# Bm7","A   E7",,,"... it's all right",,,
"C G/B D",A,,,,,,,
