"Here and Now",,,,,,,,,
,,,,,,,,,
,,,,,,,,,
F,,Bb,,,,"Grandma told me   stories...  'bout life from way back when",,,
F,,Bb,,,,"Walking uphill","both ways through the snow.",,
F,,Bb,,,,"Rugged people","trudging down the","narrow path   a - head",
F,,Bb,,,,"Going where their dad-dy said  to  go",,,
Bb,,Dm,,,,"Way     back   when...",,"Everything seemed simple baby",
Bb,,Dm,,,,"Some    day    soon...       maybe",,"it'll all make    sense again but",
Bb,,F,,,,"Here   and     now...        got a  world to explore.   Got some",,,
C,,C,,,,"Riddles to  un - ravel, ba by       what you waiting   for?",,,"for? "
F,,Bb,,,"Here and","now... here and  now...    we got",,"choices all a - round",
F,,Bb,,,"Here and now... here and  now...   ",,"now...   we got","interest com - pound...ing.",
Dm,,Fm6,,,,"Taking things for","granted that'd","shatter Newton's mind",
F,Bb,,F,,"What'll we find in to - ",,"morrow's here and",now,
F,,Bb7,,,,,,,
F,,Bb7,,,,,,,
Bb,,Dm,,,,"Way     back   when...",,"Everything seemed simple baby",
Bb,,Dm,,,,"Some    day    soon...       maybe",,"it'll all make    sense again but",
Bb,,F,,,,"Here   and     now...        got a  world to explore.   Got some",,,
C,,C,,,,"Riddles to  un - ravel, ba by       what you waiting   for?",,,"for? "
F,,Bb,,,"Here and","now... here and  now...    we got",,"pens instead of swords",
F,,Bb,,,"Here and now... here and  now...   ",,"now...   turning","ploughshares into tractors",
Dm,,Fm6,,,,"Taking things for","granted, super-","stim-u-lus ga - lore",
F,Bb,,F,,"What's in store for to - ",,"morrow's here and now",now,
Bb,,Dm,,,,"Way     back   when...",,"Everything seemed simple baby",
Bb,,Dm,,,,"Some    day    soon...       maybe",,"it'll all make    sense again but",
Bb,,F,,,,"Here   and     now...        got a  world to explore.   Got some",,,
C,,C,,,,"Riddles to  un - ravel, ba by       what you waiting   for?",,,"for? "
F,,Bb,,,"Here and now... here and    now... (here and now... here and  now...)",,,,
F,,Bb,,,"Here and now... here and    now... (here and now... here and  now...)",,,,
F,,Bb7,,"cut non-drum instruments","Here and","now... here and   now...    we got",,"smallpox locked up tight",
F,,Bb7,,,"Here and  now... here and",,"now...   Summon","cookies late at night!",
Dm,,Bb,,,"Here and  now... here and",,"now...   gotta run and catch my flight",,
F,Bb,,F,"instruments return","But I'll see you in  to-",,"morrow's here and now",now,
F,,Bb,,,"Here and","now... here and  now...    we got",,"robots driving ",cars
F,,Bb7,,,"Here and now... here and  now...   ",,"now...   Predict","with swift robust ba-","zaars"
F,,Bb,,,"Here and now... here and  now...   ",,"now...   we got","smart philanthro-py",
F,,Bb7,,,"With some sci-en-tific ",,"rigor and some","  met-a-na-ly - ses. Yeah!",
Bb,,Dm,,,,"Way     back   when...",,"Everything seemed simple baby",
Bb,,Dm,,,,"Some    day    soon...       maybe",,"it'll all make    sense again but",
Bb,,F,,,,"Here   and     now...        got a  world to explore.   Got some",,,
C,,Bb,,,,"Riddles to  un - ravel...",,"...    tell me  ","what you waiting"
F,,Bb,,,,for...,,"...    tell me  ","what you waiting"
F,,Bb,,,,for...,,"...    tell me  ","what you waiting"
F,,,,,,for...,,,
