,"Seasons of Love Chart",,,,,,,
,,,,,,,,
,"4/4 Measures    F Major key",,,,,,,
Intro,Bbsus2,Am7,"Gm7 C7sus  F","C Dm Am",,,,
,Bbsus2,Am7,"Gm7 C7sus  F","C Dm Am",,,,
"Verse 1a",Bbsus2,Am7,"Gm7 C7sus  F","C Dm Am",,,"Five hundred twenty-five thousand six hundred minutes",
,Bbsus2,Am7,"Gm7 C7sus  Dm",Am,,,"Five hundred twenty-five thousand moments so dear",
,Bbsus2,Am7,"Gm7 C7sus  F","C Dm Am",,,"Five hundred twenty-five thousand six hundred minutes",
,Bbsus2,Am7,"Gm7 C7sus  F",Am,,,"How do you measure, measure a year?",
"Verse 1b",Bbsus2,Am7,"Gm7 C7sus  F","C Dm Am",,,"In daylights, in sunsets, in midnights, in cups of coffee",
,Bbsus2,Am7,"Gm7 C7sus  Dm",Am,,,"In inches, in miles, in laughter, in strife",
,Bbsus2,Am7,"Gm7 C7sus  F","C Dm Am",,,"In five hundred twenty-five thousand six hundred minutes",
,Bbsus2,Am7,"Gm7 C7sus  F",Am,,,"How do you measure a year in the life",
Chorus,Eb/Bb,Bb,"Bb/F  ",F,,"How about",love....,"How about love? "
,Eb/Bb,Bb,"Dm/C     ",C,,"How about",love....,"How about love? "
,Eb/Bb,Bb,"Gm/F    ",F,,"Measure in",love....,"Measure in love."
,Eb(add2),,C9sus2,,,"Measure in",love....,"...Sea...sons... of"
,Bbsus2,Am7,"Gm7 C7sus  F","C Dm Am",,,love....,"lo-o-ove... seasons of"
,Bbsus2,Am7,"Gm7 C7sus  Dm",Am,,,love....,"lo-o-ove... "
,(Repeat),,,,,,"Five hundred twenty-five thousand six hundred minutes",
,,,,,,,"Five hundred twenty-five thousand journeys to plan",
,,,,,,,"Five hundred twenty-five thousand six hundred minutes",
,,,,,,,"How do you measure the life of a woman or a man?",
,,,,,,,"In truths that she learned, or in times that he cried?",
,,,,,,,"In bridges he burned, or the way that she died",
,,,,,,,"It's time now to sing out, tho' the story never ends",
,,,,,,,"Let's celebrate, remember a year in the life of friends",
,,,,,,"Remember the",love....,"Remember the love"
,,,,,,"Remember the",love....,"Remember the love"
,,,,,,"Measure in",love....,"Measure in love."
,,,,,,"Measure in",love....,"...Sea...sons... of"
,,,,,,,love....,"lo-o-ove... seasons of"
,,,,,,,love....,"lo-o-ove... "
